Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
FURGONETA ,FORD,Transit Connect,ESTADOS UNIDOS,SERIE: XL || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 3 || PESODECARGA: 2.4 || EJES: 2 || ,2021,"$12,015.60"
MINIVAN,FORD,Transit Connect,ESTADOS UNIDOS,SERIE: XL||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2000||PASAJEROS: 7||PUERTAS: 4||TRACCION: FWD||,2021,"$12,618.00"
MINIVAN,FORD,Transit Connect,TURQUÍA,SERIE: XL||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2000||PASAJEROS: 7||PUERTAS: 4||TRACCION: FWD||,2021,"$12,618.00"
FURGONETA,FORD,Transit Connect,TURQUÍA,SERIE: XLT || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 4 || PESODECARGA: 2.72 || EJES: 2 || ,2021,"$12,850.40"
MINIVAN,FORD,Transit Connect,TURQUÍA,SERIE: XLT || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION:  FWD || ,2021,"$13,430.80"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE:  2.5T Sport Prestige||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$18,450.80"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE:  2.5T Sport Prestige||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$17,648.40"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE:  2.5T||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$17,400.40"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE:  2.5T||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$16,598.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.5 PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: RWD || ,2021,"$18,508.00"
